,customer_id,VENDOR
101,KXXRD9J,157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157
102,JKXJDSX,180 180 180 195 81 188 681 104 578 676 188
103,K7XV6Q7,78 78 113 149 106 78 28 149 149 149 78 149 113 149 149 149 113 149 149 149 113 78 149 113 259 78 149 259 149 149 149 106 79 79 856 79 79 79 106
104,JBAG0YE,201 110 110 265 288 90 90 90 78 192 110 110 75 265 259 197 197 110 110 578 259 303 203 577 79 259 303 577 189 300 300 858 113 401 547
105,AF20MV6,274 274 81 274 274 274 274 274 274 274 274 578 578 547 547 547 547
106,NFFF7FQ,4 90 4 300 20 84 113 157 221 4 159 13 4 106 4 13 13 20 159 294 13 113 105 159 583 4 13 159 13 4 20 250 104 113 13 82 159 13 82 583 85 23 106 583 82 13 85 4 841 113 23 13 104 23 578 82 28 85 20 104 159 459 104
107,24BIGYR,265 81 66 75 75 225 20 176 259 28 679 679 259
108,V5EUZQT,90 90 90 192 225 243 83 225 192 225 225 225 159 159 192 159 110 134 225 192 28 303 303 303 303 303 159 159 4 216 33 159 159 82 159 188 298 159 310 578 310 310 310 310 310 79 310 310 310 221 310 310 310 310 310 159 259 310 20 310 310 67 67 67 67 67 67 67 67 67 67 310 310 310 67 310 67 310 67 67 310 310 298 67
109,NBHQJXI,265 176 78 78 195 113 547 547 191 191 676
110,0HUMB5G,304 105 105 43 105 43 105 105
111,A9EZUO7,113 113 90 79 55
112,5MQBPLB,113 113 78 113 113 113 113 113 78 113 113 161 113 288 113 113 176 113 161 113 78 113 113 113 191 113 113 113 113 113 578
113,9U33UT3,83 193 193 193 193 83 83 83 83 83 145 299 44 84 189 84 84 84 84
114,OQ27G1K,4 113 106 113 104 221 105 419 23 113 78 113 105 105 243 243 105 78 75 110 113 104 78 113 113 105 578 105 105 113 79 110 105 578 299 105 849 113 858 79 105 299 105 679 113 849 104 547 113 583 849 79 104 105 104 84
115,8612ERV,113 78 78
116,IZMDXXS,78 310 75 75 66 310 75 78 113 113 113 75 113 75 113 113 75 113 113 78 113 106 188 401 113 113 90 79 303 104 76 303 113 76 76 76 303 67 76 20 113 76
117,A46KPEA,157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 201 201 201 201 201 201 201 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157 157
118,Q3IYJX0,78 104 4 20 300 78 176 4 20 106 259 176 104
119,T4T3XCP,303 303 134 134 303 20 303 159 92 303 159 134 274 28 92 134 92 33 33 92 92 288
120,HFV6UDI,78 149 113 79
121,CMFIDJ7,106 79 106
122,Y8656NW,113 113 113 113 113 113 113 113 113 113 113 113 237 113 303 113 113 303 113
123,HRAMA41,115 28
124,543AJ2U,78 78 90 78 78 20 78 113 79 79 79 79 582 79 79 79 79
125,7IW4MQU,113 113 113 113 113 113 113 113 28 113 113 113 113 113 113 113 113 28 113 113 113
126,10W6Y7S,303 192 106 176 110 106 106 106 106 106 110 66 310 66 274 106 66 157 189 106 106 265 106 66 110 13 288 106 265 66 67 67 67 67 106 106 582 679 259 106 67 106 547 106 679 110 106 106 578 13 679 856 67 13 106 67 75
127,G5108U3,113 113 113 78 195 115 300 78 78 78 113 78 113 106 161 113 176 113 113 113 113 573 79 79
128,E9GLJWS,33 92 180 180 180 180 157 189 180 33 76 81 76 33 180 180 180 180 180 176 176
129,IFDT0BW,289 289 289 289 160
130,T3KF31M,180 303 192 180 303 303 180 176 303 303 303 13 192 113 192 303 180 298 188 67 679 679 295 298 188 176 295 676 298 188 298
131,J9XJPG4,265 265 265 265 265 23 265 265 265 265 265 265 265 265 110 110 4 265 149 4 4 82 4 271 259 259 23 250 79 79 79 104 104 28
132,IQNDXZJ,110 189 189
133,48WKJOT,106
134,12J3UW6,259 20 20 75 75 75 113 274
135,K3SLMMQ,303 33 110 20
136,KUK5AXP,176 176 33 75 20 176 113 20 188 13 81 75 113 134 176 113 113 303 547
137,EEPZUVF,78 78 113 78 858
138,CQMPL3W,157 157 157 157 157 157 157 157 157 157 201 157
139,NQR774R,78 113 78 113 113 113 679
140,J0KENW4,75 195 195 78 201 201 76
141,IVBRGV0,160 250 90 160 83 160 83 90 160 90 90 90 90 160 160 90 160 583 90 90 583 846 90 90
142,5VGAX6Q,134 159 134 159 134 134 159 20 159 134 192 192 82 82 159 134 75 188 841 159 188 134 159
143,V8LQURR,75 20 75 192 192 75 66 110 110 679 401
144,5ISO1P9,195 196 203 196 196 196
145,XFMEOYT,83 83 83 83 83 391
146,ZGFSYCZ,303 303 303 33 28 310 303 300 303 28 33 274 159 33 28 221 4 75 33 33 303 356 356 356 582 577 582 676 582 106 845 858 582 201 310 582 856 310 298 582 582
147,OB15TZY,78 78 192 274 106 78 33 216 159 33 134 33 159 159 159 28 20 110 20 28 82 159 28
148,KMP3EIT,28 113 113 66 66 113 113 113 113 28 28 28 578 578 113 28 134 310 134 113 401 134 134 578 113 401 134 134 113 134 582 67 401 134 134
149,FCPLE31,157 157
150,1R8QYFT,221 176 221 221 300 176 176 221 110 582 188 259 43
151,1BZZJ8B,300 195 43 76 82 298 298
152,88WTEML,106 106 225 106 106 106 83 356 849
153,4JFU82B,191 294 105 243 105 83 294 85 105 85 105 85 243 386 386 289 84 575 86 105 237 386 846 386 846
154,P4HOEHG,78 265 265 78 78 78 78 265 265 78 78 78 78 265 265 78 78 265 79 259 79 79 79 259 79 79 259 259 679 679 79 259 676 79 679 856 679 259 79
155,5MA3NCZ,83
156,0XBEAJO,110 259 191 79
157,JF2B2KU,189 259 81 92 110 78 106 110 78 81 106 78 106 106 106 106 149 113 79 578 106 106 79 578 113 104 20 92 4 856 547 79
158,NIJE0GT,92 33 33 110 110 92 92 679 679 4 4 4 28 4 578 858 679 401 401
159,OV0HBA0,192 92
160,Z5QDZ66,221 221
161,81IWBP7,85 243 145 86 84 356 459 419 419 459
162,LIF5VM1,176 195 310
163,CPETDPM,289 148 83 193 289
164,WB681BO,271 90 105 386 386 386 386 386
165,VB9YGMX,113 294 105 294 55 55 44 55 84 55 583 289 583
166,0UNTYTD,81 81 110 106 78 81 192 159 192 188 188 188 188
167,4BQI76G,105 160 160 289 160 160 846
168,8RRPR7U,299 201 201 201 201 201 85 201 197 197 197 197 197 197 197 197
169,K9VYYXJ,113 113 113 310 113 113 113 106 189 78 193 113 113 79 113 113 856
170,OWUFK44,85 105 90 85 83 105 105 180
171,VD82HFH,83 83 83 294 83 195 250 294 391 193 83 577 577 575 386 386
172,YCWY9IE,104 113 20 113 113 20 221 23 192 113 113 274 113 113 188 113 75 298 188 188 578 191 113 113 188 113
173,OARI43L,78 78 113 113 113 113 78 113 113 79 79 679 79
174,PMTKV28,113 78 78 83 85 79 79 79 79 79 79
175,8VJ39OW,113 104 20
176,XJL07PO,250 250
177,V18BTQ9,274 303 192 192 303 303 4 92 271 176 188 271 578 92 104 547
178,XR0J5DL,221
179,CU053IJ,300 300 300 81 221 81 303 303 4 303 4 20 33 81 33 20 20 81 274 81 4 4 20 81 221 82 82 67 298 298 82 298 82 82 43
180,V6JC4VF,105 105 193 84 386 681 419
181,VLDIWLI,113 113
182,P22KXPO,201 201 81 192 195 81 81 20 20 20 110 33 33 82 20 134
183,IWOFQNP,203 203 203 203 203 203 161 161 203 161 203 203 203 203 203 199 573 289 199 573 573 199 199 573 573 199 573 855 573 573 573 573
184,QTAM4AO,85 83 85 250 83 43 356 86 577 86 582
185,X8NVUI9,203 196
186,6E4TG5L,85 85 231 391 86
187,3IZIT9X,298 78
188,31HG5D2,113 192 113 113 113 113 577 577 113 113
189,FO7VVTC,196 75 66 66 196 199
190,96U4HCA,28 78 78 78 28 28 78 201 113 106 115 201 201 201 201 201 201 106 201 201 856 201 856 856 843 201 201 79
191,ENHTOLO,83 83 83 84
192,3BRZCQK,134 192 134 134 192 134 134 134 201 274 192 134 134 134 134
193,RYV1HLM,231 243 231 160 105 105 231 193 193 105 231 160 231 459
194,BAM8Z8O,13 23 20 13 76 23 13 13 13 13 13 13 13 13 13
195,6GW9JIZ,113 20 207 20 221 81 20 391 191 82 577 577 82 43 82 250 841 295 82 4 841 221 841 221 221 841
196,NSE2CP5,85 271 105 160 85 86 193 386 225 225 459 386 84 289
197,IU5G2MV,78 78 78 78 207 207 78 78 78 78 78 78 203 203 79 203 79 79 203 79 203 79 203 79 856 856 203 79
198,2REWQEY,176
199,BYZEDPF,85 193 85 85 105 105 189 145 84 846
200,O77ATOH,110 110 110 110 33 189 110 110 134 110 33
201,KQKMTKG,196 196 104 203 196
202,K607Q94,85
203,YYDRRVZ,90 85 85 90 90 90 90 90 294 90 189
204,25AWPGL,221 221 75 221 207 134 221 221 134 221 221 75 221 221 221 221 221 134 134 221 75 221 4 221 134 221 225 221 75 221 4 216 216 134 134 188 134 274 191 191 20 79
205,H1ROQQD,207 4 33 4 4 81 4 33 33 81 113 578 578 295 159 159 295 159 159 578 191 82 82 92 33 33 191 858 858 858 33
206,KKHY8XM,83 83 83 83 83 83 84 583 148 148
207,HXXSM91,4 176
208,39MGW9L,78 78 78 78 78 78
209,ME7VZOB,83
210,7DHXYCH,159 104 159 104 159 159 75 104 159 104 159 104 159 159 104 104 104
211,3C0R3BF,83 231 193 84 84 84 84
212,8WA8L10,265 20 148 231 148 148 148 148 92 13 148
213,YNHOI8Q,176 113 195 207 195 195 207 20 225 20 225 78 195 20 159 159 159 195 195 195 195 159 191 191
214,KAXZZDM,43 85 154 154 154 575 300
215,CHOGUPR,196 161 161 161 161 196 78 573 191 573 573 192 288 573
216,5LERT51,192 113 419 188 66 676
217,Y0MP6PD,203 161 199 855 855
218,PHBRPSP,23 259 23 66 216 582
219,P9PGO2N,85 243 105 86 86 386 86 86 537 386
220,CDFC375,197 148 237 148 84
221,4YP9UQV,78 78 159 78 78 104 78 159 33 33
222,49SQWNT,78 113 78 113 106 113 113 78 78 78 78 81 113 78 578 113 858 858 547 79 28 113
223,CVBL9KD,159 192 159 192 192 176 4 176 188 188
224,NXBSD7Q,161 203 161 161 161 161 161 573 855
225,R1JGIT3,20 75 75 75 110 221 104 295 76 23 23 295 23 250
226,P97OM97,134 83 159 92 176 134 176
227,9XPYHT6,28 113 113 113 113 113 113 113 113 113 28 159 195 196 113 78 113 113 113 113 161 573
228,4AU73XO,201 43 20 243 4 134 20 43 110 66 13 28 13 83 250 75 193 84 310 391 310 310 583 356 310 203 310 846 310 310 846 310 681
229,IJHNJ90,105 105 105 113 148 85 105 105 537 148
230,TM7EV52,192 159 192 192 159 104 159 192 192 192 207 104 81 192 20 159 188 271
231,N94XH2T,134 134 134 134 134 134 134 221 134 134 134 221 134 134 134 134 221 221 221 221 134 134 134 134 134 134 134 134 134 134 134 134 134 134 134 134 134 20 20 20 20 841 134 134 841 134
232,PQB9ZOG,243 105 43 105 160 145 85 243 105 105 225 225 105 237 105 459 105
233,6O8CYWX,78 4
234,BRZ7ZFO,83 83 83 90 83 83 90 90 83 193 231 83 83 83 83 83 188 176
235,IB555AJ,105 294 294 105 145 105 104 105 83 105 83 105 294 105 105 304 304 105 459 44 44 105 44 105 299 299 459 84 44 105 459 537 537 537 537 105 459 386 537 537 356
236,QLDXDPF,78 78
237,9AJM2R7,180 192 81 180 159 180 159 4 274 159 192 4
238,08BB1CN,148
239,G9ARH06,78 78 78 66 78 78 78 78 78 78 79 79 79 113 79 578 79 79 79 79
240,1WQV4JF,134 104 81 134 134 134 134 134 134 134 134 33 134 134 134 134 134 134 134
241,436H5RZ,192 104 159 188
242,QNZ8YW0,176 176 113 113 43
243,4I5L9CP,113 33 113 33 113 288 75 113 33 113 33 113 33 113 113 78 104 113 113 113 113 265 113 113 113 33 33 288 113 33 113 113 33 271 113 113 113 113 113 33 113 20 113
244,3QS2ZC4,192 180 192 192 192 192 192 192 192 192 192 192 192 188 188
245,QAEWDCD,195 113
246,3Q7TELB,203
247,HX76ORD,159 300 159 300 300 300 300 274 300 300 159 300 300 300 159 300 300 300 300 221 300 300 159 300 300 159 300 300 159 221 300 159 159 159 159 159 159 300 159 300 159 274 221 81 81 221 81 159 221 159 159 159 159 159 300 28 300 159 159 13 33 81 300 159 300 295 295 295 295 216 159 159 295 295 82 159 295 295 679 159 159 216 295 295 216 295 295 82 295 858 295 858 82 295 159 295 858 295 295 295 858 82 82 858 858 82 82
248,ZA2EWEB,294 83 294 83 83 294 294 83 289 90
249,XW90EAP,4 13 33 159 13 13 13 13 13 13 13 33 13 4 13 159 13 159 13 13 13 13 13 303 13 159 192 303 192 13 13 13 303 13 303 4 303 298 81 13 13 303 274 298 81 159 13 13 13 303 13 81 13 4 13 13 159 13 303 13 159 4 81 303 4 13 81 303 13 13 159 13 13 13 13 13 4 81 303 13 159 13 13 4 13 81 13 13 159 159 13 13 159 81 13 159 4 13 13 13 13 13 13 4 13 13 81 13 159 13 13 159 4 13 13 13 13 13 13 159 159 13 33 159 13 13 13 13 13 159 303 13 303 4 303 303 92 13 13 81 13 13 13 159 4 13 81 13 13 159 4 13 13 13 303 13 13 159 13 13 159 4 13 13 13 159 13 13 271 4 13 13 159 13 288 298 159 13 13 159 298 4 13 159 298 13 298 13 159 13 298 82 13 13 134 4 159 13 4 298 13 159 13 4 159 298 4 13 13 82 13 298 13 4 13 159 13 82 13 13 13 13 13 13 4 13 159 13 13 4 13 13 13 4 159 13 13 13 159 298 4 13 159 13 4 13 13 159 13 13 13 4 13 92 159 13 13 13 13 159 159 13
250,6013PWK,78 113 161 161 78 161 161 161 106 78 161 161 78 78 113 78 113 78 161 78 161 78 78 161 298 113 573 79 79 113 573 573 79 79 573 79 113 113
251,XP5OI1S,83 160 160 83 83 83 289 83 83 160 83 83 83 84 459 84 84 84 84 84 160 84
252,EC7QSS0,85 85 85 85 105 86 86 86
253,85TWZPD,192 303 192 92 13 192 401 188 401 547 578 298
254,478OWMF,66 66 66 66 110 66 66 66 66 66 110 66 78 110 106 259 67 67
255,0KQF479,83 583
256,2WGF9T2,92 180 113 78 90 33 20 221 20 180 180 195 180 149 113 197 221 113 20 180 180 113 92 92 203 110 110 398 157 110 110 577 23 23 577 23 23 110 23 401 23 250 23 250 83 20 250 110 250 23 23 841 201 191 577 577 176 176 176 191 82 841 841
257,RAES6KP,161 161 161
258,L3EY9BH,221 33 221 221 33 33 33 221 221 221 221 33 221 221 221 221 221 300 300 271 188 295 188 295 216 20 20 271 20 216 20 216 188 295 20 391 176 13 33 33 216 92 33 271 85 92 271 82 85 20 20 20
259,NVDVNOO,105 199 199 199 199 199
260,FS229TW,157 679
261,M1G3OA3,201 193 33 113 33 145 33 33 113
262,K94CEP2,288 288 82 289 43 44 289 288 82 43 288 288 193 82 44 288 250 82 43 82 288 288 149 288 82 82 201 43 83 207 207 207 145 154 225 83 681 846 681 207 681
263,3XYNP2P,104 197 197 197 289 459 583 459 583 459 207 583 583 459
264,NRSDAY3,195 578 578 841
265,5U9EJUS,145 43 28 28 43 43 43 43 43 28 28
266,20UVY7V,90 192 90 303 83 83 78 78 79 188 188 188 304 104 575 575
267,PER6ZGQ,90 289
268,TDF8SHV,92 81 192 92 274 92 92 75 578 92 85 92 547
269,VVJC2WN,66 85 192 288 113 44 113 159 43
270,VLXLNZM,105 83 83 90 459 160 148
271,76WDK53,33 33 33 76 76 92 288 76 76 76 113 134 76 288 303 76 298 113 113 113
272,SMSZ1HJ,110 274 83 78 78 78 401
273,P2JFHS2,92 4 180 134 134 134 134 4 4 180 81 134 134 4 134 92 134 176 134
274,XN02EHS,243 145 145 243 243 243 83 145 243 391 243 83 237 419 161 154 161 575 459 537 105 537 583 356 459 145 575 537 356 145 575 537 145 145 86 419
275,ADRN8OK,148 231 231 231 148 90 148 231 231 231 85 356 225 86
276,TE8TOX7,201 33 81 299 33 33 33 33 81 221 201 33 33 193 577 577 577 846 577 843 4 82 846 82
277,NW4MCEH,299 90 90 90 90 90 195 20 90 82 82 82 82 82 90
278,4L1CPE9,304 294 294
279,X2DX17F,192 195 180 274 180 195 81 274 274 195 195 195 274 195 192 81 82 82 191 176 271 176 4 176 159 191 82 159 159 159 841 676 250
280,IBUJIN8,78 78
281,DB5OJAP,83 193 193 259 259 391 105 237 575 583 459 846 846 189 237 237 846
282,AUTNX9B,78 78 78 78 78 78 78 79 79
283,M4GSENV,192 13 23 4 4 4 4 134 134 75 13 13
284,RQ4TGLX,83 846 845
285,P9XGQ9L,83 193 106 189 191 189
286,EAUCO1M,274 134 104 221 4 104 33 274 134 104 134 104 104 92 104 33 33 92 134 134 274 33 75 92 106 104 679 33 679 4 176 104 298 33 134 298 401
287,Q49CWN5,78 113 78 113 78 78 113 78 113 113 78 78 78 113 78 78 113 106 78 79 79 79 113 79 79 79 79 79 79 79 113 76
288,JS6I2D5,78 113 115 259 106 78 113 104 78 113 259 78 113 259 106 79 79
289,Y3AK8Y4,265 110 110 271 259 271
290,3V1MHJ2,199 289 231 83 231 105 83 105 195 81 81 81 84 81 84 81 84 84 105 81
