,Unnamed: 0,customer_id,gender,location_number,location_type,latitude_x,longitude_x,city_id,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,tag_14,tag_15,tag_16,tag_17,tag_18,tag_19,tag_20,tag_21,tag_22,tag_23,tag_24,tag_25,tag_26,tag_27,tag_28,tag_29,tag_30,tag_31,tag_32,tag_33,tag_34,tag_35,tag_36,tag_37,tag_38,tag_39,tag_40,tag_41,tag_42,tag_43,tag_44,tag_45,tag_46,tag_47,tag_48,tag_49,tag_50,tag_51,tag_52,tag_53,tag_54,tag_55,tag_56,tag_57,tag_58,tag_59,tag_60,tag_61,tag_62,tag_63,tag_64,tag_65,tag_66,tag_67,tag_68,tag_69,tag_70,tag_71,tag_72,tag_73,tag_74,tag_75,tag_76,tag_77,tag_78,tag_79,tag_80,tag_81,tag_82,tag_83,tag_84,tag_85,tag_86,tag_87,tag_88,tag_89,tag_90,tag_91,grand_total,item_count
529,55600,JNVC68C,1,4,2,-0.6035,-0.07227,1.0,24,16,0,40,56,0,0,64,0,32,0,8,0,0,8,48,0,0,0,0,0,8,16,40,0,0,24,0,8,48,8,8,8,0,0,0,0,8,0,0,0,0,0,8,0,0,8,8,0,8,0,24,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,24,9.131914893617026,2.004582024399672
530,55700,JNVC68C,1,5,2,-96.44,43.56,1.0,24,16,0,40,56,0,0,64,0,32,0,8,0,0,8,48,0,0,0,0,0,8,16,40,0,0,24,0,8,48,8,8,8,0,0,0,0,8,0,0,0,0,0,8,0,0,8,8,0,8,0,24,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,24,9.131914893617026,2.004582024399672
531,55800,JNVC68C,1,6,2,453.8,-132.2,1.0,24,16,0,40,56,0,0,64,0,32,0,8,0,0,8,48,0,0,0,0,0,8,16,40,0,0,24,0,8,48,8,8,8,0,0,0,0,8,0,0,0,0,0,8,0,0,8,8,0,8,0,24,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,24,9.131914893617026,2.004582024399672
532,55900,JNVC68C,1,7,2,-0.0541,0.4402,1.0,24,16,0,40,56,0,0,64,0,32,0,8,0,0,8,48,0,0,0,0,0,8,16,40,0,0,24,0,8,48,8,8,8,0,0,0,0,8,0,0,0,0,0,8,0,0,8,8,0,8,0,24,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,24,9.131914893617026,2.004582024399672
533,56000,JNVC68C,1,8,0,-0.9478,0.09875,1.0,24,16,0,40,56,0,0,64,0,32,0,8,0,0,8,48,0,0,0,0,0,8,16,40,0,0,24,0,8,48,8,8,8,0,0,0,0,8,0,0,0,0,0,8,0,0,8,8,0,8,0,24,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,24,9.131914893617026,2.004582024399672
534,56100,JNVC68C,1,9,2,-0.1454,0.595,1.0,24,16,0,40,56,0,0,64,0,32,0,8,0,0,8,48,0,0,0,0,0,8,16,40,0,0,24,0,8,48,8,8,8,0,0,0,0,8,0,0,0,0,0,8,0,0,8,8,0,8,0,24,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,24,9.131914893617026,2.004582024399672
535,56200,JNVC68C,1,10,2,-97.3,43.56,1.0,24,16,0,40,56,0,0,64,0,32,0,8,0,0,8,48,0,0,0,0,0,8,16,40,0,0,24,0,8,48,8,8,8,0,0,0,0,8,0,0,0,0,0,8,0,0,8,8,0,8,0,24,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,24,9.131914893617026,2.004582024399672
661,69300,YWUO19K,0,0,0,-0.5986,-78.5,1.0,80,0,0,0,80,0,0,80,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,40,0,0,80,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,11.198666666666671,2.418324306095749
662,69400,YWUO19K,0,1,0,0.1826,-78.6,1.0,80,0,0,0,80,0,0,80,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,40,0,0,80,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,11.198666666666671,2.418324306095749
663,69500,YWUO19K,0,2,0,-0.7935,-78.5,1.0,80,0,0,0,80,0,0,80,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,40,0,0,80,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,11.198666666666671,2.418324306095749
664,69600,YWUO19K,0,3,2,-0.602,0.1019,1.0,80,0,0,0,80,0,0,80,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,40,0,0,80,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,11.198666666666671,2.418324306095749
665,69700,YWUO19K,0,4,2,-0.9307,0.0791,1.0,80,0,0,0,80,0,0,80,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,40,0,0,80,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,11.198666666666671,2.418324306095749
666,69800,YWUO19K,0,5,2,-1.253,0.0816,1.0,80,0,0,0,80,0,0,80,0,0,0,0,40,0,0,40,0,0,0,0,0,0,0,40,0,0,80,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,11.198666666666671,2.418324306095749
769,81200,UPE7I5J,0,0,1,-0.52,-78.5,1.0,9,3,0,6,9,3,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12.675,2.019870976299573
770,81300,UPE7I5J,0,1,2,-0.516,0.0943,1.0,9,3,0,6,9,3,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12.675,2.019870976299573
853,89900,PVY5BS5,0,0,0,-0.334,-78.56,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7,3.0
1041,109000,VZS3CRP,0,0,0,2.201,-78.9,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,3.0
1093,114700,3UPWKFR,1,0,1,-0.01415,-78.56,1.0,6,0,0,2,6,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14.52,2.8
1094,114800,3UPWKFR,1,1,2,-0.0828,-0.004482,1.0,6,0,0,2,6,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14.52,2.8
1119,117300,UOD3O4W,0,0,0,-1.219,-78.44,1.0,22,0,0,33,44,11,0,44,0,0,0,11,0,0,11,33,0,0,0,0,0,0,0,44,0,0,11,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,11,11,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19.508695652173916,2.9634333830607207
1120,117400,UOD3O4W,0,1,1,-0.7974,-78.5,1.0,22,0,0,33,44,11,0,44,0,0,0,11,0,0,11,33,0,0,0,0,0,0,0,44,0,0,11,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,11,11,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19.508695652173916,2.9634333830607207
1121,117500,UOD3O4W,0,2,0,-0.1082,-78.56,1.0,22,0,0,33,44,11,0,44,0,0,0,11,0,0,11,33,0,0,0,0,0,0,0,44,0,0,11,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,11,11,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19.508695652173916,2.9634333830607207
1122,117600,UOD3O4W,0,3,2,-1.214,0.0639,1.0,22,0,0,33,44,11,0,44,0,0,0,11,0,0,11,33,0,0,0,0,0,0,0,44,0,0,11,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,11,11,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19.508695652173916,2.9634333830607207
1123,117700,UOD3O4W,0,4,2,-0.675,0.2142,1.0,22,0,0,33,44,11,0,44,0,0,0,11,0,0,11,33,0,0,0,0,0,0,0,44,0,0,11,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,11,11,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19.508695652173916,2.9634333830607207
1124,117800,UOD3O4W,0,5,2,-0.789,0.05774,1.0,22,0,0,33,44,11,0,44,0,0,0,11,0,0,11,33,0,0,0,0,0,0,0,44,0,0,11,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,11,11,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19.508695652173916,2.9634333830607207
1125,117900,UOD3O4W,0,6,2,-0.35,0.626,1.0,22,0,0,33,44,11,0,44,0,0,0,11,0,0,11,33,0,0,0,0,0,0,0,44,0,0,11,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,11,11,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19.508695652173916,2.9634333830607207
1135,119000,3WBL5YL,0,0,0,-0.6567,-78.5,1.0,2,4,0,4,4,2,0,10,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,4,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.085714285714284,2.9399262721711845
1136,119100,3WBL5YL,0,1,0,-0.658,0.125,1.0,2,4,0,4,4,2,0,10,0,2,0,0,2,0,2,2,0,0,0,0,0,2,2,4,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.085714285714284,2.9399262721711845
1149,120500,4ABZZJG,0,0,0,-1.373,-78.44,1.0,5,5,0,15,20,0,0,25,0,0,0,0,5,0,5,10,0,0,0,0,0,5,10,20,5,0,5,5,0,5,0,5,0,5,0,0,0,5,0,0,5,0,5,0,0,0,5,5,5,0,5,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8.382352941176473,1.411764705882353
1150,120600,4ABZZJG,0,1,2,-0.7314,-78.5,1.0,5,5,0,15,20,0,0,25,0,0,0,0,5,0,5,10,0,0,0,0,0,5,10,20,5,0,5,5,0,5,0,5,0,5,0,0,0,5,0,0,5,0,5,0,0,0,5,5,5,0,5,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8.382352941176473,1.411764705882353
1151,120700,4ABZZJG,0,2,2,-1.38,0.10803,1.0,5,5,0,15,20,0,0,25,0,0,0,0,5,0,5,10,0,0,0,0,0,5,10,20,5,0,5,5,0,5,0,5,0,5,0,0,0,5,0,0,5,0,5,0,0,0,5,5,5,0,5,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8.382352941176473,1.411764705882353
1158,121500,1PY2ZQK,0,0,2,0.0885,-78.6,1.0,8,4,0,0,12,0,0,8,0,0,0,0,4,0,4,8,0,0,0,0,0,4,4,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10.577777777777776,2.888888888888889
1250,131400,PLW3RCJ,0,0,2,-1.248,-78.44,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,3.0
1266,133000,VKTEDXY,0,0,0,-1.205,-78.44,1.0,5,5,0,5,10,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,5,0,0,0,0,5,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,12.163636363636364,1.818181818181818
1267,133100,VKTEDXY,0,1,0,0.3552,0.2595,1.0,5,5,0,5,10,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,5,0,0,0,0,5,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,12.163636363636364,1.818181818181818
